questionnaire;A;B;C;D;A;B;C;D
Quelle capacité aimerais-tu avoir ?;être très fort/forte;savoir voler;savoir parler plusieures langues;contrôler les pensées;good : 5 intelligence : 5  ambition : 5  courage : 8;good : 5 intelligence : 5 ambition : 9 courage : 5;good : 5 intelligence : 9 ambition : 5 courage : 5;good : 8 intelligence : 5 ambition : 5 courage : 5
Lors d'un contrôle...;tu n'as pas révisé car tu n'étais pas au courant et tu pries pour le réussir au talent;tu vois que le contrôle est super long, et comme tu as la flemme tu fais juste les exercices les plus simples ou ceux qui rapportent le plus de points puis tu t'endors;tu triches sur les autres car tu ne veux pas que ta moyenne baisse;tu as bien révisé alors aucun problème, tu gères;intelligence : 0 courage : 0 good : 5 ;intelligence : 5 courage : 0 good : 5;intelligence : 0 courage : 0 good : 0 ;intelligence : 9  courage : 5 good : 5
Si quelqu'un t'embête...;tu réponds et tu te bats;tu prépares une vengeance ;tu le dis à un adulte;tu laisses tomber;courage : 9 intelligence : 0;courage : 7 intelligence : 7;courage : 0 intelligence : 9 ;courage : 0 intelligence : 7
Quel métier exercerais-tu ?;sportif/sportive de haut niveau;président/présidente de la république;médecin;chaumeur/chaumeuse;ambition : 8 intelligence : 5;ambition : 9 intelligence : 5;ambition : 9 intelligence : 9;ambition : 0 intelligence : 0
Au lycée tu es...;celui/celle qui s'entend bien avec tout le monde;celui/celle qui dirige les autres, le délégué de la classe;celui/celle qui révise pendant la pause;celui/celle qui a 2 amis inséparables;intelligence : 5 ambition : 5 good : 9;intelligence : 5 ambition : 9 good : 9;intelligence : 9 ambition : 9 good : 5;intelligence : 5 ambition : 2 good : 9
Une dispute éclate entre ta sœur/ton frère et tes parents...;tu fais front avec elle/lui;tu te relaxe, sors le popcorn et profites de cette scène de combat;tu ne t'en melles pas, c'est pas ton problème;tu attends la fin, puis la/le consoles;courage : 9 good : 7;courage : 5 good : 0;courage : 0 good : 5;courage : 0 good : 9
Ton ami/amie est malade...;tu ne veux pas le/la voir, pas envie d'attraper sa maladie;tu viens le voir juste pour louper les cours avec lui/elle ;tu passes le/la voir de temps en temps pour prendre de ses nouvelles et lui apporter les devoirs;tu t'occupes de lui/elle jusqu'à ce qu'il/elle rétablisse;good : 0 intelligence : 5;good : 2 intelligence : 5;good : 8 intelligence : 9;good : 9 intelligence : 4
Une soudaine attaque de détraqueurs...;tu paniques et tu t'enfuis quelque part avec tout ce qu'il faut pour survivre;tu fais front en leur lancant des sorts et essaye de proéger tes proches;tu te livres à eux, de toute manière tu n'aurais pas survécu;tu trouves ça amusant, un peu d'action pour une fois;courage : 0 good : 3;courage : 9 good : 9;courage : 0 good : 5;courage : 9 good : 5
Tu as volé une potion au professeur Rogue, on t'interroge...;tu affirmes que tu n'es au courant de rien et comme tu as préparé ton coup à l'avance, personne ne se doute que c'est toi;tu accuses un élève d'une autre maison en apportant de fausses preuves;tu avoues que c'est toi, trop peur de ce prof...;tu bégayes et t'enfuis en courant;courage : 8 good : 1;courage : 8 good : 0;courage : 0 good : 8;courage : 0 good : 5
On te demande de choisir un film, lequel choisis-tu ?;un marvel;un film de Miyazaki (Ghibli);la soupe aux choux car tu aimes rire hahaha;conjuring parce que t'es glauque;courage : 5 good : 8;courage : 5 good : 9;courage : 5 good : 9;courage : 8 good : 0
Tu visites une maison hanté avec tes amis... ;tu es fasciné, tu touches à tout et cherches les fantômes;on t'as forcé à venir, tu cries à chaque petit bruit;tu accompagnes juste tes amis, mais tu te fais crier dessus parce que tu fais du bruit;tu flippes mais tu fais semblant de ne pas avoir peur;courage : 9;courage : 0;courage : 8;courage : 1
Quelles spécialités garderais-tu en terminale ?;maths et physique-chimie;maths et nsi;physique-chimie et nsi;tu ne sais pas;ambition : 5 intelligence : 9;ambition : 8 intelligence : 5 ;ambition : 9 intelligence : 4;ambition : 5 intelligence : 5
Si tu devais apprendre à jouer d'un instrument, lequel choisirais-tu ?;le piano;le violon;la batterie;la guitare;ambition : 4;ambition : 9;ambition : 6;ambition : 7
Quand tu as du temps libre, que fais-tu ?;un peu de sport;tu consacres ce moment à tes loisirs;tout les bonus des programmes de nsi;dormir;ambition : 8;ambition : 5;ambition : 9;ambition : 0
Dans la famille Simpson tu es plus...;Homer;Bart;Marge;Lisa;good : 9 intelligence : 0  ambition : 5 courage : 3;good : 4 intelligence : 1 ambition : 5 courage : 8;good : 8 intelligence : 7 ambition : 9 courage : 6;good : 7 intelligence : 9 ambition : 9 courage : 5
Le jeu de ton enfance c'était plus...;les cartes Pokémon;les billes;les scoubidous;les rubik's cube;good : 6 intelligence : 5 ambition : 9 courage : 8;good : 8 intelligence : 5 ambition : 5 courage : 8;good : 8 intelligence : 7 ambition : 8 courage : 5;good : 5 intelligence : 9 ambition : 9 courage : 8
Que voudrais-tu changer dans tes habitudes ?;dormir plus;travailler plus;bouger plus;rien;ambition : 5;ambition : 9;ambition : 8;ambition : 0
As-tu une phobie ?;arachnophobie;claustrophobie;scopophobie (peur d'être poursuivit);aucune;courage : 0;courage : 1;courage : 1;courage : 9
Quelle est la formule du calcul de delta ?;-b**2(4ac)';b**2-4ac';b**2(4ac)';aucune idée j'ai arrêté les maths;ambition :5 intelligence : 5;ambition : 9 intelligence : 9;ambition : 5 intelligence : 5;ambition : 0 intelligence : 0
On t'annonce la mort de Dobby...;tu fonds en larmes;tu n'avais pas d'interêt pour lui alors tu t'en fiches un peu;tu ne l'aimais pas alors tu te réjouit de sa mort;tu es choqué/choquée;good : 9;good : 1;good : 0;good : 6
